src_schema,src_table,src_column,transformation,tgt_schema,tgt_table,tgt_column
src_adventureworks,product,src:ProductID::STRING,,dv,product_h,product_key
src_adventureworks,product,src:ProductID::STRING,,dv,product_h,product_id
src_adventureworks,product,CURRENT_TIMESTAMP,,dv,product_h,load_dts
src_adventureworks,product,,'sales',dv,product_h,rec_src

src_adventureworks,product,,dv,product_main_s

src_adventureworks,product,src:ProductID::STRING,,dv,product_main_s,product_key
src_adventureworks,product,CURRENT_TIMESTAMP,,dv,product_main_s,load_dts
src_adventureworks,product,src:ModifiedDate::TIMESTAMP,,dv,product_main_s,effective_ts
src_adventureworks,product,src:Name::STRING,,dv,product_main_s,name
src_adventureworks,product,src:Class::STRING,,dv,product_main_s,class
src_adventureworks,product,src:Color::STRING,,dv,product_main_s,color
src_adventureworks,product,src:DaysToManufacture::INT,,dv,product_main_s,days_to_manufacture
src_adventureworks,product,src:DiscontinuedDate::TIMESTAMP,,dv,product_main_s,discontinued_date
src_adventureworks,product,src:FinishedGoodsFlag::STRING,,dv,product_main_s,finished_goods_flag
src_adventureworks,product,"src:ListPrice::NUMBER(18,4)",,dv,product_main_s,list_price
src_adventureworks,product,src:MakeFlag::STRING,,dv,product_main_s,make_flag
src_adventureworks,product,src:ProductLine::STRING,,dv,product_main_s,product_line
src_adventureworks,product,src:ProductNumber::STRING,,dv,product_main_s,product_number
src_adventureworks,product,src:ReorderPoint::INT,,dv,product_main_s,reorder_point
src_adventureworks,product,src:SafetyStockLevel::INT,,dv,product_main_s,safety_stock_level
src_adventureworks,product,src:SellEndDate::TIMESTAMP,,dv,product_main_s,sell_end_date
src_adventureworks,product,src:SellStartDate::TIMESTAMP,,dv,product_main_s,sell_start_date
src_adventureworks,product,src:Size::STRING,,dv,product_main_s,size
src_adventureworks,product,src:SizeUnitMeasureCode::STRING,,dv,product_main_s,size_unit_measure_code
src_adventureworks,product,"src:StandardCost::NUMBER(18,4)",,dv,product_main_s,standard_cost
src_adventureworks,product,src:Style::STRING,,dv,product_main_s,style
src_adventureworks,product,"src:Weight::NUMBER(18,4)",,dv,product_main_s,weight
src_adventureworks,product,src:WeightUnitMeasureCode::STRING,,dv,product_main_s,weight_unit_measure_code
src_adventureworks,product,,'sales',dv,product_main_s,rec_src

src_adventureworks,product,src:ProductSubcategoryID::STRING,,dv,product_subcategory_h,product_subcategory_key
src_adventureworks,product,src:ProductSubcategoryID::STRING,,dv,product_subcategory_h,product_subcategory_id
src_adventureworks,product,CURRENT_TIMESTAMP,,dv,product_subcategory_h,load_dts
src_adventureworks,product,,'sales',dv,product_subcategory_h,rec_src

src_adventureworks,productsubcategory,src:ProductSubcategoryID::STRING,,dv,product_subcategory_h,product_subcategory_key
src_adventureworks,productsubcategory,src:ProductSubcategoryID::STRING,,dv,product_subcategory_h,product_subcategory_id
src_adventureworks,productsubcategory,CURRENT_TIMESTAMP,,dv,product_subcategory_h,load_dts
src_adventureworks,productsubcategory,,'sales',dv,product_subcategory_h,rec_src

src_adventureworks,product,"src:ProductID::STRING ||'|'|| src:ProductSubcategoryID::STRING",,dv,product_product_subcategory_l,product_product_subcategory_l_key
src_adventureworks,product,src:ProductID::STRING,,dv,product_product_subcategory_l,product_key
src_adventureworks,product,src:ProductSubcategoryID::STRING,,dv,product_product_subcategory_l,product_subcategory_key
src_adventureworks,product,CURRENT_TIMESTAMP,,dv,product_product_subcategory_l,load_dts
src_adventureworks,product,,'sales',dv,product_product_subcategory_l,rec_src

src_adventureworks,productsubcategory,src:ProductSubcategoryID::STRING,,dv,product_subcategory_s,product_subcategory_key
src_adventureworks,productsubcategory,CURRENT_TIMESTAMP,,dv,product_subcategory_s,load_dts
src_adventureworks,productsubcategory,src:ModifiedDate::TIMESTAMP,,dv,product_subcategory_s,effective_ts
src_adventureworks,productsubcategory,src:Name::STRING,,dv,product_subcategory_s,name
src_adventureworks,productsubcategory,,'sales',dv,product_subcategory_s,rec_src
