schema,table
adventureworks2019,AWBuildVersion
adventureworks2019,DatabaseLog
adventureworks2019,ErrorLog
adventureworks2019,sysdiagrams
adventureworks2019,Department
adventureworks2019,Employee
adventureworks2019,EmployeeDepartmentHistory
adventureworks2019,EmployeePayHistory
adventureworks2019,JobCandidate
adventureworks2019,Shift
adventureworks2019,Address
adventureworks2019,AddressType
adventureworks2019,BusinessEntity
adventureworks2019,BusinessEntityAddress
adventureworks2019,BusinessEntityContact
adventureworks2019,ContactType
adventureworks2019,CountryRegion
adventureworks2019,EmailAddress
adventureworks2019,Password
adventureworks2019,Person
adventureworks2019,PersonPhone
adventureworks2019,PhoneNumberType
adventureworks2019,StateProvince
adventureworks2019,BillOfMaterials
adventureworks2019,Culture
adventureworks2019,Document
adventureworks2019,Illustration
adventureworks2019,Location
adventureworks2019,Product
adventureworks2019,ProductCategory
adventureworks2019,ProductCostHistory
adventureworks2019,ProductDescription
adventureworks2019,ProductDocument
adventureworks2019,ProductInventory
adventureworks2019,ProductListPriceHistory
adventureworks2019,ProductModel
adventureworks2019,ProductModelIllustration
adventureworks2019,ProductModelProductDescriptionCulture
adventureworks2019,ProductPhoto
adventureworks2019,ProductProductPhoto
adventureworks2019,ProductReview
adventureworks2019,ProductSubcategory
adventureworks2019,ScrapReason
adventureworks2019,TransactionHistory
adventureworks2019,TransactionHistoryArchive
adventureworks2019,UnitMeasure
adventureworks2019,WorkOrder
adventureworks2019,WorkOrderRouting
adventureworks2019,ProductVendor
adventureworks2019,PurchaseOrderDetail
adventureworks2019,PurchaseOrderHeader
adventureworks2019,ShipMethod
adventureworks2019,Vendor
adventureworks2019,CountryRegionCurrency
adventureworks2019,CreditCard
adventureworks2019,Currency
adventureworks2019,CurrencyRate
adventureworks2019,Customer
adventureworks2019,PersonCreditCard
adventureworks2019,SalesOrderDetail
adventureworks2019,SalesOrderHeader
adventureworks2019,SalesOrderHeaderSalesReason
adventureworks2019,SalesPerson
adventureworks2019,SalesPersonQuotaHistory
adventureworks2019,SalesReason
adventureworks2019,SalesTaxRate
adventureworks2019,SalesTerritory
adventureworks2019,SalesTerritoryHistory
adventureworks2019,ShoppingCartItem
adventureworks2019,SpecialOffer
adventureworks2019,SpecialOfferProduct
adventureworks2019,Store
