source_schema,source_table,source_filter,target_schema,target_table
src_adventureworks,salesorderheader,,dv,sales_h
src_adventureworks,salesorderdetail,,dv,sales_orderline_h
src_adventureworks,salesorderdetail,,dv,sales_sales_orderline_l
src_adventureworks,salesorderdetail,,dv,sales_orderline_product_l
src_adventureworks,product,,dv,product_h
src_adventureworks,salesorderheader,,dv,sales_main_s
src_adventureworks,salesorderheader,,dv,sales_context_s
src_adventureworks,salesorderheader,,dv,sales_mesaures_s
src_adventureworks,salesorderdetail,,dv,sales_orderline_measures_s
src_adventureworks,product,,dv,product_main_s
src_adventureworks,product,,dv,product_subcategory_h
src_adventureworks,productsubcategory,,dv,product_subcategory_h
src_adventureworks,product,,dv,product_product_subcategory_l
src_adventureworks,product,,dv,product_product_subcategory_l_s
src_adventureworks,productsubcategory,,dv,product_subcategory_s
